libor;overnight
2.2125;2.113
2.21613;2.122
2.25;2.12
2.23925;2.107
2.23;2.113
2.22288;2.121
2.21156;2.119
2.224;2.152
2.2755;2.18
2.31538;2.17
2.32;2.17
2.31;2.165
2.34;2.198
2.35575;2.17
2.29275;2.155
2.30913;2.1575
2.32263;2.175
2.33163;2.17
2.31;2.178
2.34238;2.1775
2.32038;2.17
2.32238;2.16
2.29863;2.135
2.28888;2.15
2.31375;2.2
2.33;2.185
2.33963;2.19
2.36388;2.195
2.36;2.2
2.36138;2.19
2.35138;2.19
2.35275;2.2025
2.402;2.23
2.427;2.265
2.47;2.27
2.47488;2.215
2.40175;2.245
2.46163;2.2675
2.44188;2.245
2.44725;2.245
2.436;2.255
2.43488;2.245
2.4075;2.22
2.38313;2.218
2.38588;2.25
2.42638;2.235
2.41888;2.22
2.38213;2.205
2.36388;2.175
2.33613;2.173
2.33;2.178
2.33913;2.18
2.32875;2.168
2.3275;2.168
2.3275;2.175
2.3485;2.2025
2.35;2.193
2.35713;2.2
2.36;2.18
2.32025;2.175
2.32;2.18
2.36438;2.218
2.37975;2.203
2.38;2.22
2.38025;2.245
2.40363;2.25
2.42;2.235
2.41588;2.23
2.39;2.205
2.35163;2.19
2.36288;2.19
2.3485;2.1825
2.34425;2.17
2.32088;2.13
2.283;2.145
2.283;2.145
2.29725;2.16
2.29125;2.1375
2.2745;2.135
2.26625;2.151
2.27963;2.143
2.27025;2.1475
2.28313;2.148
2.27063;2.135
2.29063;2.169
2.31375;2.173
2.31;2.1525
2.3095;2.1525
2.29125;2.155
2.301;2.165
2.29575;2.145
2.27313;2.155
2.27888;2.191
2.34713;2.2425
2.39675;2.231
2.38725;2.252
2.42338;2.236
2.39;2.226
2.38238;2.223
2.405;2.25
2.39238;2.236
2.38788;2.2375
2.403;2.242
2.37025;2.235
2.38438;2.23
2.38788;2.24
2.3865;2.223
2.36625;2.22
2.37775;2.235
2.37738;2.225
2.37125;2.242
2.38563;2.2375
2.39;2.23
2.37025;2.237
2.37713;2.247
2.38563;2.243
2.376;2.241
2.386;2.24
2.35625;2.19
2.31988;2.195
2.31238;2.19
2.31525;2.183
2.30013;2.175
2.2975;2.176
2.28438;2.169
2.29125;2.17
2.2735;2.16
2.27338;2.17
2.28438;2.1784
2.26563;2.16
2.26563;2.169
2.28125;2.185
2.30538;2.202
2.30525;2.19
